LCDataDictionary_full
LoanStatNew,Description,포함 여부,평가
sec_app_inq_last_6mths,Credit inquiries in the last 6 months at time of application for the secondary applicant,O,보조 신청자의 최근 6개월 내 신용 조회 횟수
sec_app_mort_acc , Number of mortgage accounts at time of application for the secondary applicant,O,보조) 주택 관련 계좌 개수
sec_app_open_acc , Number of open trades at time of application for the secondary applicant,O,보조) 열려있는 신용 계좌 수
sec_app_revol_util , Ratio of total current balance to high credit/credit limit for all revolving accounts,O,보조) 신용 계좌 최대 금액 대비 잔액 비율
sec_app_open_act_il, Number of currently active installment trades at time of application for the secondary applicant,O,
sec_app_num_rev_accts , Number of revolving accounts at time of application for the secondary applicant,O,
sec_app_chargeoff_within_12_mths,Number of charge-offs within last 12 months at time of application for the secondary applicant,O,
sec_app_collections_12_mths_ex_med,Number of collections within last 12 months excluding medical collections at time of application for the secondary applicant,O,
sec_app_mths_since_last_major_derog ,Months since most recent 90-day or worse rating at time of application for the secondary applicant,O,
hardship_flag,Flags whether or not the borrower is on a hardship plan,X,재정 곤란 프로그램에 등록되어 있는지
hardship_type,Describes the hardship plan offering,X,무슨 재정 곤란 프로그램
hardship_reason,Describes the reason the hardship plan was offered,X,재정 곤란 프로그램 이유
hardship_status,"Describes if the hardship plan is active, pending, canceled, completed, or broken",X,재정 곤란 프로그램 상태
deferral_term,Amount of months that the borrower is expected to pay less than the contractual monthly payment amount due to a hardship plan,X,적게 갚아도 되는 허용 개월수
hardship_amount,The interest payment that the borrower has committed to make each month while they are on a hardship plan,X,Hardship plan은 대출 사후 데이터이므로 내생변수라고 생각해 포함 x
hardship_start_date,The start date of the hardship plan period,X,
hardship_end_date,The end date of the hardship plan period,X,
payment_plan_start_date,"The day the first hardship plan payment is due. For example, if a borrower has a hardship plan period of 3 months, the start date is the start of the three-month period in which the borrower is allowed to make interest-only payments.",X,
hardship_length,The number of months the borrower will make smaller payments than normally obligated due to a hardship plan,X,
hardship_dpd,Account days past due as of the hardship plan start date,X,
hardship_loan_status,Loan Status as of the hardship plan start date,X,
orig_projected_additional_accrued_interest,The original projected additional interest amount that will accrue for the given hardship payment plan as of the Hardship Start Date. This field will be null if the borrower has broken their hardship payment plan.,X,
hardship_payoff_balance_amount,The payoff balance amount as of the hardship plan start date,X,
hardship_last_payment_amount,The last payment amount as of the hardship plan start date,X,
disbursement_method,"The method by which the borrower receives their loan. Possible values are: CASH, DIRECT_PAY",X,어떻게 지급하는지는 대출 결정 이후의 데이터이므로 포함 안함
debt_settlement_flag,"Flags whether or not the borrower, who has charged-off, is working with a debt-settlement company.",X,
debt_settlement_flag_date,The most recent date that the Debt_Settlement_Flag has been set  ,X,Settlement plan은 대출 이후에 발생하는 사건이므로 내생변수라고 생각했음
settlement_status,"The status of the borrower’s settlement plan. Possible values are: COMPLETE, ACTIVE, BROKEN, CANCELLED, DENIED, DRAFT",X,채무조정 중인지를 나타내는 변수이므로 이미 대출해준 상태
settlement_date,The date that the borrower agrees to the settlement plan,X,
settlement_amount,The loan amount that the borrower has agreed to settle for,X,
settlement_percentage,The settlement amount as a percentage of the payoff balance amount on the loan,X,
settlement_term,The number of months that the borrower will be on the settlement plan,X,
,,,
,* Employer Title replaces Employer Name for all loans listed after 9/23/2013,,
